state,moisture_percent,time,pump_state,LDR
dry,283,09:10:55,0,911
dry,282,09:11:55,0,993
dry,282,09:12:55,0,1006
dry,286,09:13:55,0,999
dry,282,09:14:55,0,996
dry,283,09:15:55,0,931
dry,286,09:16:55,0,-10
dry,285,09:17:55,0,956
dry,284,09:18:55,0,976
dry,283,09:19:55,0,921
dry,280,09:20:55,0,974
dry,289,09:21:55,0,914
dry,283,09:22:55,0,970
dry,287,09:23:55,0,1003
dry,286,09:24:55,0,980
dry,289,09:25:55,0,929
dry,290,09:26:55,0,947
dry,288,09:27:55,0,907
dry,287,09:28:55,0,972
dry,288,09:29:55,0,945
dry,288,09:30:55,0,962
dry,287,09:31:55,0,948
dry,293,09:32:55,0,953
dry,290,09:33:55,0,959
dry,291,09:34:55,0,935
dry,290,09:35:55,0,994
dry,292,09:36:55,0,991
dry,292,09:37:55,0,973
dry,293,09:38:55,0,934
dry,291,09:39:55,0,930
dry,291,09:40:55,0,906
dry,292,09:41:55,0,981
dry,292,09:42:55,0,938
dry,292,09:43:55,0,916
dry,293,09:44:55,0,987
dry,294,09:45:55,0,977
dry,297,09:46:55,0,981
dry,293,09:47:55,0,988
dry,296,09:48:55,0,0
dry,297,09:49:55,0,930
dry,294,09:50:55,0,925
dry,297,09:51:55,0,974
dry,298,09:52:55,0,1005
dry,297,09:53:55,0,911
dry,294,09:54:55,0,953
dry,298,09:55:55,0,992
dry,296,09:56:55,0,908
dry,301,09:57:55,0,963
dry,298,09:58:55,0,961
dry,300,09:59:55,0,971
dry,300,10:00:55,0,1011
dry,304,10:01:55,0,986
dry,298,10:02:55,0,1016
dry,303,10:03:55,0,957
dry,300,10:04:55,0,994
dry,301,10:05:55,0,1022
dry,300,10:06:55,0,986
dry,302,10:07:55,0,990
dry,302,10:08:55,0,931
dry,306,10:09:55,0,982
dry,304,10:10:55,0,931
dry,302,10:11:55,0,995
dry,305,10:12:55,0,950
dry,303,10:13:55,0,929
dry,308,10:14:55,0,947
dry,305,10:15:55,0,941
dry,309,10:16:55,0,9999
dry,305,10:17:55,0,1023
dry,309,10:18:55,0,978
dry,307,10:19:55,0,1001
dry,308,10:20:55,0,974
dry,304,10:21:55,0,998
dry,311,10:22:55,0,996
dry,310,10:23:55,0,959
dry,308,10:24:55,0,1016
dry,308,10:25:55,0,972
dry,311,10:26:55,0,950
dry,312,10:27:55,0,970
dry,310,10:28:55,0,965
dry,311,10:29:55,0,951
dry,308,10:30:55,0,998
dry,311,10:31:55,0,988
dry,315,10:32:55,0,1021
dry,311,10:33:55,0,9999
dry,310,10:34:55,0,1023
dry,312,10:35:55,0,1003
dry,313,10:36:55,0,992
dry,316,10:37:55,0,948
dry,313,10:38:55,0,942
dry,317,10:39:55,0,933
dry,316,10:40:55,0,956
dry,311,10:41:55,0,961
dry,315,10:42:55,0,997
dry,316,10:43:55,0,979
dry,317,10:44:55,0,950
dry,315,10:45:55,0,944
dry,318,10:46:55,0,990
dry,313,10:47:55,0,948
dry,320,10:48:55,0,1005
dry,318,10:49:55,0,969
dry,319,10:50:55,0,1009
dry,317,10:51:55,0,946
dry,316,10:52:55,0,958
dry,319,10:53:55,0,991
dry,320,10:54:55,0,942
dry,315,10:55:55,0,948
dry,321,10:56:55,0,953
dry,325,10:57:55,0,984
dry,319,10:58:55,0,1019
dry,319,10:59:55,0,1004
dry,319,11:00:55,0,1016
dry,324,11:01:55,0,993
dry,322,11:02:55,0,984
dry,323,11:03:55,0,1022
dry,324,11:04:55,0,1007
dry,320,11:05:55,0,1023
dry,323,11:06:55,0,1011
dry,324,11:07:55,0,1015
dry,323,11:08:55,0,1005
dry,322,11:09:55,0,1006
dry,327,11:10:55,0,986
dry,327,11:11:55,0,987
dry,325,11:12:55,0,990
dry,330,11:13:55,0,1023
dry,322,11:14:55,0,949
dry,325,11:15:55,0,959
dry,328,11:16:55,0,955
dry,327,11:17:55,0,999
dry,328,11:18:55,0,1023
dry,330,11:19:55,0,965
dry,328,11:20:55,0,993
dry,327,11:21:55,0,1022
dry,329,11:22:55,0,1023
dry,329,11:23:55,0,949
dry,333,11:24:55,0,961
dry,332,11:25:55,0,964
dry,330,11:26:55,0,1023
dry,331,11:27:55,0,1017
dry,333,11:28:55,0,990
dry,333,11:29:55,0,961
dry,331,11:30:55,0,995
dry,334,11:31:55,0,994
dry,333,11:32:55,0,979
dry,330,11:33:55,0,1003
dry,335,11:34:55,0,986
dry,335,11:35:55,0,1023
dry,332,11:36:55,0,1023
dry,336,11:37:55,0,1023
dry,335,11:38:55,0,1023
dry,339,11:39:55,0,1023
dry,336,11:40:55,0,986
dry,334,11:41:55,0,995
dry,337,11:42:55,0,948
dry,341,11:43:55,0,978
dry,337,11:44:55,0,970
dry,335,11:45:55,0,963
dry,341,11:46:55,0,1015
dry,339,11:47:55,0,997
dry,340,11:48:55,0,962
dry,340,11:49:55,0,984
dry,338,11:50:55,0,1023
dry,342,11:51:55,0,999
dry,340,11:52:55,0,957
dry,343,11:53:55,0,962
dry,343,11:54:55,0,959
dry,338,11:55:55,0,1023
dry,343,11:56:55,0,947
dry,339,11:57:55,0,978
dry,341,11:58:55,0,945
dry,340,11:59:55,0,1020
dry,342,12:00:55,0,998
dry,342,12:01:55,0,974
dry,343,12:02:55,0,1023
dry,343,12:03:55,0,971
dry,346,12:04:55,0,983
dry,345,12:05:55,0,972
dry,346,12:06:55,0,1000
dry,343,12:07:55,0,-10
dry,346,12:08:55,0,979
dry,345,12:09:55,0,976
dry,342,12:10:55,0,953
dry,349,12:11:55,0,1023
dry,345,12:12:55,0,966
dry,350,12:13:55,0,996
dry,350,12:14:55,0,965
dry,344,12:15:55,0,989
dry,351,12:16:55,0,981
dry,348,12:17:55,0,1023
dry,348,12:18:55,0,975
dry,347,12:19:55,0,1023
dry,349,12:20:55,0,1023
dry,347,12:21:55,0,1023
dry,351,12:22:55,0,9999
dry,353,12:23:55,0,969
dry,352,12:24:55,0,1017
dry,356,12:25:55,0,987
dry,353,12:26:55,0,1023
dry,353,12:27:55,0,987
dry,352,12:28:55,0,974
dry,349,12:29:55,0,1020
dry,354,12:30:55,0,1013
dry,356,12:31:55,0,996
dry,355,12:32:55,0,1015
dry,356,12:33:55,0,1006
dry,358,12:34:55,0,1018
dry,358,12:35:55,0,1006
dry,355,12:36:55,0,1019
dry,357,12:37:55,0,962
dry,357,12:38:55,0,1023
dry,357,12:39:55,0,9999
dry,359,12:40:55,0,1012
dry,356,12:41:55,0,995
dry,359,12:42:55,0,952
dry,359,12:43:55,0,983
dry,360,12:44:55,0,1017
dry,361,12:45:55,0,953
dry,361,12:46:55,0,972
dry,361,12:47:55,0,1023
dry,361,12:48:55,0,951
dry,363,12:49:55,0,1008
dry,362,12:50:55,0,0
dry,362,12:51:55,0,1023
dry,359,12:52:55,0,1023
dry,361,12:53:55,0,1023
dry,361,12:54:55,0,1023
dry,364,12:55:55,0,1023
dry,364,12:56:55,0,1011
dry,364,12:57:55,0,963
dry,363,12:58:55,0,1023
dry,362,12:59:55,0,970
dry,364,13:00:55,0,977
dry,363,13:01:55,0,992
dry,363,13:02:55,0,1023
dry,365,13:03:55,0,988
dry,360,13:04:55,0,1023
dry,368,13:05:55,0,1023
dry,366,13:06:55,0,1023
dry,367,13:07:55,0,955
dry,367,13:08:55,0,993
dry,370,13:09:55,0,1023
dry,368,13:10:55,0,1023
dry,372,13:11:55,0,949
dry,368,13:12:55,0,954
dry,368,13:13:55,0,990
dry,370,13:14:55,0,1023
dry,369,13:15:55,0,0
dry,374,13:16:55,0,958
dry,371,13:17:55,0,983
dry,373,13:18:55,0,974
dry,372,13:19:55,0,1007
dry,371,13:20:55,0,1023
dry,374,13:21:55,0,974
dry,372,13:22:55,0,961
dry,374,13:23:55,0,1023
dry,372,13:24:55,0,976
dry,371,13:25:55,0,-10
dry,376,13:26:55,0,1023
dry,376,13:27:55,0,1023
dry,376,13:28:55,0,1023
dry,375,13:29:55,0,1023
dry,373,13:30:55,0,957
dry,374,13:31:55,0,999
